Order_ID,Order_Date,Customer_ID,Customer_Name,Region,State,City,Salesperson,Category,Sub_Category,Product,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Mode,Sales_Channel
ORD-112775,2025-01-01,CUST-2806,Customer 2806,South,Telangana,Warangal,Salesperson 8,Furniture,Sofa,Sofa Pro,1,54430,0.05,51708.5,37513.73,14194.77,Cash,Online
ORD-102931,2025-01-01,CUST-4675,Customer 4675,North,Uttar Pradesh,Lucknow,Salesperson 11,Office Supplies,Paper,Paper Pro,4,550,0.05,2090.0,1533.95,556.05,Debit Card,Online
ORD-112578,2025-01-01,CUST-3428,Customer 3428,East,Odisha,Rourkela,Salesperson 1,Office Supplies,Printer,Printer Pro,1,12970,0.1,11673.0,7981.8,3691.2,Cash,Online
ORD-103316,2025-01-01,CUST-3482,Customer 3482,South,Kerala,Kozhikode,Salesperson 3,Office Supplies,Stationery,Stationery Pro,4,230,0.05,874.0,584.46,289.54,UPI,Retail Store
ORD-100852,2025-01-01,CUST-3676,Customer 3676,South,Karnataka,Bengaluru,Salesperson 18,Office Supplies,Stationery,Stationery Pro,2,720,0.15,1224.0,837.02,386.98,Credit Card,Online
ORD-106963,2025-01-01,CUST-3604,Customer 3604,West,Maharashtra,Nagpur,Salesperson 12,Home Appliances,Washing Machine,Washing Machine Pro,1,28260,0.1,25434.0,20309.43,5124.57,UPI,Distributor
ORD-107685,2025-01-01,CUST-4685,Customer 4685,North,Punjab,Jalandhar,Salesperson 1,Electronics,Smartphone,Smartphone Pro,3,32770,0.05,93394.5,79253.09,14141.41,UPI,Retail Store
ORD-107815,2025-01-01,CUST-4154,Customer 4154,West,Goa,Panaji,Salesperson 16,Electronics,Monitor,Monitor Pro,1,9770,0.05,9281.5,7280.32,2001.18,UPI,Distributor
ORD-110899,2025-01-01,CUST-2202,Customer 2202,South,Kerala,Kochi,Salesperson 11,Electronics,Smartphone,Smartphone Pro,1,46940,0.05,44593.0,37706.66,6886.34,Debit Card,Online
ORD-114568,2025-01-01,CUST-3599,Customer 3599,South,Kerala,Kozhikode,Salesperson 1,Home Appliances,Refrigerator,Refrigerator Pro,5,65920,0.15,280160.0,223363.5,56796.5,Credit Card,Online
ORD-106626,2025-01-01,CUST-4232,Customer 4232,North,Uttar Pradesh,Noida,Salesperson 7,Electronics,Monitor,Monitor Pro,1,13980,0.05,13281.0,11079.89,2201.11,Cash,Online
ORD-110231,2025-01-01,CUST-4600,Customer 4600,North,Delhi,Noida,Salesperson 18,Office Supplies,Printer,Printer Pro,3,11680,0.1,31536.0,21998.89,9537.11,Cash,Online
ORD-100903,2025-01-01,CUST-1671,Customer 1671,East,Jharkhand,Dhanbad,Salesperson 1,Electronics,Monitor,Monitor Pro,1,17150,0.05,16292.5,13468.0,2824.5,Credit Card,Online
ORD-114460,2025-01-01,CUST-1034,Customer 1034,East,Jharkhand,Dhanbad,Salesperson 9,Office Supplies,File Storage,File Storage Pro,1,410,0.1,369.0,250.2,118.8,UPI,Online
ORD-100089,2025-01-01,CUST-3135,Customer 3135,North,Delhi,Noida,Salesperson 9,Home Appliances,Refrigerator,Refrigerator Pro,2,49810,0.15,84677.0,73193.6,11483.4,UPI,Online
ORD-108828,2025-01-02,CUST-5233,Customer 5233,South,Tamil Nadu,Chennai,Salesperson 15,Furniture,Office Chair,Office Chair Pro,1,10830,0.05,10288.5,8121.02,2167.48,Debit Card,Retail Store
ORD-108738,2025-01-02,CUST-2805,Customer 2805,South,Tamil Nadu,Chennai,Salesperson 2,Electronics,Laptop,Laptop Pro,2,70610,0.0,141220.0,108820.75,32399.25,UPI,Distributor
ORD-103995,2025-01-02,CUST-5495,Customer 5495,West,Gujarat,Vadodara,Salesperson 10,Office Supplies,Printer,Printer Pro,1,15720,0.1,14148.0,9520.39,4627.61,UPI,Retail Store
ORD-108632,2025-01-02,CUST-3155,Customer 3155,North,Punjab,Jalandhar,Salesperson 3,Electronics,Monitor,Monitor Pro,1,22080,0.1,19872.0,15673.74,4198.26,Debit Card,Online
ORD-104210,2025-01-02,CUST-4088,Customer 4088,East,Odisha,Cuttack,Salesperson 15,Electronics,Laptop,Laptop Pro,5,68580,0.0,342900.0,290889.33,52010.67,Credit Card,Distributor
ORD-112063,2025-01-02,CUST-4004,Customer 4004,North,Uttar Pradesh,Noida,Salesperson 8,Office Supplies,Paper,Paper Pro,5,470,0.1,2115.0,1578.93,536.07,Cash,Distributor
ORD-103281,2025-01-02,CUST-3135,Customer 3135,South,Telangana,Hyderabad,Salesperson 9,Furniture,Bookshelf,Bookshelf Pro,1,9270,0.1,8343.0,6096.03,2246.97,UPI,Online
ORD-107291,2025-01-02,CUST-2687,Customer 2687,North,Punjab,Amritsar,Salesperson 1,Office Supplies,Stationery,Stationery Pro,2,820,0.1,1476.0,992.64,483.36,Credit Card,Distributor
ORD-100087,2025-01-02,CUST-4162,Customer 4162,East,West Bengal,Durgapur,Salesperson 13,Office Supplies,Stationery,Stationery Pro,4,800,0.0,3200.0,2245.4,954.6,Credit Card,Retail Store
ORD-106968,2025-01-02,CUST-4250,Customer 4250,North,Delhi,Noida,Salesperson 6,Furniture,Office Chair,Office Chair Pro,1,13400,0.1,12060.0,8456.23,3603.77,UPI,Online
ORD-107867,2025-01-02,CUST-1910,Customer 1910,West,Gujarat,Surat,Salesperson 17,Electronics,Monitor,Monitor Pro,2,27580,0.1,49644.0,41184.91,8459.09,Credit Card,Distributor
ORD-109420,2025-01-02,CUST-1192,Customer 1192,West,Gujarat,Vadodara,Salesperson 14,Office Supplies,Printer,Printer Pro,2,9900,0.1,17820.0,13164.42,4655.58,Debit Card,Retail Store
ORD-104614,2025-01-02,CUST-3110,Customer 3110,North,Haryana,Faridabad,Salesperson 2,Electronics,Smartphone,Smartphone Pro,1,27600,0.1,24840.0,20108.66,4731.34,UPI,Retail Store
ORD-101723,2025-01-02,CUST-2923,Customer 2923,North,Haryana,Faridabad,Salesperson 4,Furniture,Office Chair,Office Chair Pro,3,7670,0.1,20709.0,15631.5,5077.5,Credit Card,Online
ORD-108406,2025-01-02,CUST-3748,Customer 3748,South,Telangana,Nizamabad,Salesperson 3,Electronics,Monitor,Monitor Pro,1,23720,0.0,23720.0,19828.87,3891.13,Debit Card,Online
ORD-114178,2025-01-02,CUST-4576,Customer 4576,North,Delhi,New Delhi,Salesperson 5,Office Supplies,Paper,Paper Pro,2,790,0.1,1422.0,983.07,438.93,UPI,Retail Store
ORD-100855,2025-01-02,CUST-4647,Customer 4647,North,Punjab,Amritsar,Salesperson 13,Electronics,Monitor,Monitor Pro,1,20620,0.05,19589.0,15661.88,3927.12,Credit Card,Distributor
ORD-111472,2025-01-02,CUST-2342,Customer 2342,North,Delhi,New Delhi,Salesperson 2,Electronics,Monitor,Monitor Pro,2,28250,0.05,53675.0,44164.79,9510.21,Net Banking,Distributor
ORD-106155,2025-01-02,CUST-2462,Customer 2462,South,Karnataka,Mangaluru,Salesperson 15,Electronics,Monitor,Monitor Pro,1,12800,0.05,12160.0,10007.68,2152.32,Debit Card,Online
ORD-106530,2025-01-02,CUST-3133,Customer 3133,East,Bihar,Patna,Salesperson 2,Home Appliances,Air Conditioner,Air Conditioner Pro,1,43950,0.0,43950.0,36639.22,7310.78,UPI,Online
ORD-105393,2025-01-02,CUST-3936,Customer 3936,West,Goa,Panaji,Salesperson 3,Home Appliances,Air Conditioner,Air Conditioner Pro,3,61530,0.05,175360.5,149949.75,25410.75,Credit Card,Online
ORD-106756,2025-01-02,CUST-1509,Customer 1509,East,West Bengal,Siliguri,Salesperson 7,Furniture,Bookshelf,Bookshelf Pro,5,7070,0.1,31815.0,23151.13,8663.87,UPI,Retail Store
ORD-107832,2025-01-02,CUST-5462,Customer 5462,East,Jharkhand,Jamshedpur,Salesperson 11,Furniture,Desk,Desk Pro,1,22220,0.0,22220.0,16701.72,5518.28,Debit Card,Online
ORD-101137,2025-01-02,CUST-4230,Customer 4230,North,Uttar Pradesh,Lucknow,Salesperson 4,Home Appliances,Air Conditioner,Air Conditioner Pro,2,46400,0.05,88160.0,75089.79,13070.21,Debit Card,Distributor
ORD-111205,2025-01-02,CUST-1538,Customer 1538,West,Rajasthan,Jaipur,Salesperson 11,Home Appliances,Refrigerator,Refrigerator Pro,5,41630,0.1,187335.0,170290.52,17044.48,Debit Card,Distributor
ORD-101771,2025-01-02,CUST-4429,Customer 4429,North,Haryana,Panipat,Salesperson 9,Furniture,Bookshelf,Bookshelf Pro,1,14740,0.15,12529.0,10357.79,2171.21,Debit Card,Retail Store
ORD-101769,2025-01-02,CUST-2408,Customer 2408,South,Kerala,Kozhikode,Salesperson 19,Furniture,Desk,Desk Pro,3,12520,0.05,35682.0,29787.65,5894.35,Credit Card,Online
ORD-108799,2025-01-03,CUST-3920,Customer 3920,North,Delhi,Noida,Salesperson 9,Electronics,Smartphone,Smartphone Pro,1,52690,0.0,52690.0,40535.72,12154.28,Debit Card,Online
ORD-103678,2025-01-03,CUST-2256,Customer 2256,East,Jharkhand,Dhanbad,Salesperson 17,Furniture,Desk,Desk Pro,2,24290,0.15,41293.0,30090.18,11202.82,Net Banking,Retail Store
ORD-105156,2025-01-03,CUST-5289,Customer 5289,South,Kerala,Thiruvananthapuram,Salesperson 18,Furniture,Office Chair,Office Chair Pro,3,5180,0.1,13986.0,10533.2,3452.8,Debit Card,Retail Store
ORD-111734,2025-01-03,CUST-4589,Customer 4589,West,Goa,Panaji,Salesperson 2,Furniture,Sofa,Sofa Pro,1,44470,0.0,44470.0,33568.08,10901.92,Net Banking,Online
ORD-104836,2025-01-03,CUST-4481,Customer 4481,East,West Bengal,Durgapur,Salesperson 10,Electronics,Smartphone,Smartphone Pro,1,49420,0.05,46949.0,41635.74,5313.26,Debit Card,Online
ORD-111835,2025-01-03,CUST-3826,Customer 3826,East,Bihar,Patna,Salesperson 2,Office Supplies,Printer,Printer Pro,2,8940,0.2,14304.0,9987.97,4316.03,Debit Card,Online
ORD-105048,2025-01-03,CUST-2668,Customer 2668,South,Karnataka,Mysuru,Salesperson 20,Office Supplies,Printer,Printer Pro,3,7690,0.0,23070.0,16990.91,6079.09,Credit Card,Online
ORD-108151,2025-01-03,CUST-4899,Customer 4899,West,Rajasthan,Udaipur,Salesperson 8,Office Supplies,Printer,Printer Pro,2,9300,0.1,16740.0,12106.97,4633.03,Cash,Distributor
ORD-103570,2025-01-03,CUST-3354,Customer 3354,East,Bihar,Patna,Salesperson 15,Home Appliances,Air Conditioner,Air Conditioner Pro,4,51810,0.15,176154.0,150272.72,25881.28,UPI,Online
ORD-105183,2025-01-03,CUST-1326,Customer 1326,East,West Bengal,Durgapur,Salesperson 3,Electronics,Smartphone,Smartphone Pro,2,25920,0.0,51840.0,42495.01,9344.99,Debit Card,Retail Store
ORD-112576,2025-01-03,CUST-1710,Customer 1710,West,Rajasthan,Udaipur,Salesperson 2,Furniture,Office Chair,Office Chair Pro,1,6950,0.1,6255.0,4318.44,1936.56,UPI,Online
ORD-107635,2025-01-03,CUST-4601,Customer 4601,West,Maharashtra,Pune,Salesperson 16,Office Supplies,Stationery,Stationery Pro,2,490,0.0,980.0,736.23,243.77,UPI,Distributor
ORD-107306,2025-01-03,CUST-2000,Customer 2000,North,Haryana,Gurugram,Salesperson 12,Home Appliances,Refrigerator,Refrigerator Pro,2,62380,0.05,118522.0,91705.61,26816.39,UPI,Online
ORD-107605,2025-01-03,CUST-3942,Customer 3942,North,Haryana,Panipat,Salesperson 5,Furniture,Office Chair,Office Chair Pro,5,7340,0.15,31195.0,23091.64,8103.36,Net Banking,Retail Store
ORD-113508,2025-01-03,CUST-2651,Customer 2651,South,Telangana,Warangal,Salesperson 6,Office Supplies,File Storage,File Storage Pro,1,1110,0.0,1110.0,768.21,341.79,Debit Card,Online
ORD-103548,2025-01-03,CUST-2669,Customer 2669,East,West Bengal,Durgapur,Salesperson 3,Furniture,Sofa,Sofa Pro,1,59330,0.0,59330.0,47404.77,11925.23,Debit Card,Retail Store
ORD-112808,2025-01-03,CUST-4069,Customer 4069,North,Punjab,Amritsar,Salesperson 3,Furniture,Office Chair,Office Chair Pro,1,9760,0.0,9760.0,7159.09,2600.91,Debit Card,Online
ORD-113739,2025-01-03,CUST-3755,Customer 3755,North,Uttar Pradesh,Noida,Salesperson 16,Electronics,Smartphone,Smartphone Pro,3,46460,0.05,132411.0,109850.2,22560.8,UPI,Online
ORD-110699,2025-01-03,CUST-3540,Customer 3540,South,Kerala,Kozhikode,Salesperson 19,Office Supplies,Stationery,Stationery Pro,2,440,0.1,792.0,570.63,221.37,Debit Card,Retail Store
ORD-100815,2025-01-03,CUST-1956,Customer 1956,South,Telangana,Hyderabad,Salesperson 17,Home Appliances,Air Conditioner,Air Conditioner Pro,5,44610,0.05,211897.5,192776.96,19120.54,Credit Card,Online
ORD-110453,2025-01-03,CUST-4993,Customer 4993,East,Odisha,Rourkela,Salesperson 19,Home Appliances,Air Conditioner,Air Conditioner Pro,1,60260,0.05,57247.0,46925.76,10321.24,Cash,Online
ORD-100935,2025-01-03,CUST-1725,Customer 1725,South,Karnataka,Mysuru,Salesperson 18,Electronics,Monitor,Monitor Pro,5,21340,0.1,96030.0,76464.19,19565.81,Debit Card,Distributor
ORD-101136,2025-01-03,CUST-3400,Customer 3400,South,Telangana,Warangal,Salesperson 6,Electronics,Laptop,Laptop Pro,4,75670,0.15,257278.0,212063.29,45214.71,Credit Card,Online
ORD-110086,2025-01-03,CUST-3426,Customer 3426,West,Goa,Margao,Salesperson 4,Office Supplies,Paper,Paper Pro,2,280,0.2,448.0,304.0,144.0,UPI,Online
ORD-101420,2025-01-03,CUST-2348,Customer 2348,East,West Bengal,Durgapur,Salesperson 12,Home Appliances,Washing Machine,Washing Machine Pro,3,49440,0.05,140904.0,119567.46,21336.54,Credit Card,Online
ORD-101768,2025-01-03,CUST-4748,Customer 4748,West,Maharashtra,Mumbai,Salesperson 20,Furniture,Sofa,Sofa Pro,3,34070,0.05,97099.5,74339.31,22760.19,Debit Card,Online
ORD-103392,2025-01-03,CUST-2262,Customer 2262,East,West Bengal,Siliguri,Salesperson 19,Home Appliances,Refrigerator,Refrigerator Pro,3,56260,0.15,143463.0,117463.46,25999.54,UPI,Online
ORD-109511,2025-01-03,CUST-5057,Customer 5057,East,Jharkhand,Ranchi,Salesperson 7,Office Supplies,Printer,Printer Pro,1,9270,0.05,8806.5,5944.9,2861.6,Debit Card,Online
ORD-102259,2025-01-03,CUST-1813,Customer 1813,North,Punjab,Amritsar,Salesperson 3,Furniture,Office Chair,Office Chair Pro,2,14530,0.05,27607.0,20800.5,6806.5,Cash,Online
ORD-114007,2025-01-03,CUST-4943,Customer 4943,East,Odisha,Cuttack,Salesperson 2,Furniture,Desk,Desk Pro,2,22750,0.1,40950.0,32012.61,8937.39,UPI,Retail Store
ORD-102765,2025-01-03,CUST-3303,Customer 3303,South,Telangana,Hyderabad,Salesperson 20,Electronics,Smartphone,Smartphone Pro,1,15220,0.1,13698.0,11131.27,2566.73,Debit Card,Retail Store
ORD-102820,2025-01-03,CUST-5474,Customer 5474,East,West Bengal,Siliguri,Salesperson 1,Furniture,Office Chair,Office Chair Pro,2,14160,0.15,24072.0,18432.66,5639.34,UPI,Retail Store
ORD-102882,2025-01-03,CUST-3404,Customer 3404,South,Tamil Nadu,Coimbatore,Salesperson 18,Home Appliances,Air Conditioner,Air Conditioner Pro,1,47160,0.05,44802.0,35348.52,9453.48,Net Banking,Online
ORD-113630,2025-01-03,CUST-3874,Customer 3874,West,Maharashtra,Mumbai,Salesperson 2,Home Appliances,Microwave,Microwave Pro,4,10200,0.0,40800.0,35591.96,5208.04,UPI,Distributor
ORD-109022,2025-01-03,CUST-2780,Customer 2780,East,Bihar,Patna,Salesperson 18,Home Appliances,Refrigerator,Refrigerator Pro,3,48740,0.15,124287.0,101847.0,22440.0,Debit Card,Retail Store
ORD-102989,2025-01-03,CUST-4590,Customer 4590,East,Bihar,Gaya,Salesperson 18,Office Supplies,Stationery,Stationery Pro,1,1160,0.2,928.0,670.58,257.42,Credit Card,Retail Store
ORD-103247,2025-01-03,CUST-1847,Customer 1847,South,Tamil Nadu,Chennai,Salesperson 14,Office Supplies,Printer,Printer Pro,2,13900,0.05,26410.0,17804.93,8605.07,UPI,Retail Store
ORD-109005,2025-01-03,CUST-5098,Customer 5098,West,Rajasthan,Jaipur,Salesperson 16,Office Supplies,Paper,Paper Pro,2,500,0.05,950.0,624.16,325.84,UPI,Retail Store
ORD-113823,2025-01-03,CUST-4165,Customer 4165,West,Rajasthan,Jaipur,Salesperson 5,Home Appliances,Microwave,Microwave Pro,3,7260,0.1,19602.0,16143.18,3458.82,UPI,Distributor
ORD-101662,2025-01-04,CUST-2079,Customer 2079,North,Haryana,Faridabad,Salesperson 16,Office Supplies,Printer,Printer Pro,3,24550,0.1,66285.0,49613.35,16671.65,UPI,Distributor
ORD-105725,2025-01-04,CUST-5036,Customer 5036,West,Rajasthan,Udaipur,Salesperson 13,Electronics,Smartphone,Smartphone Pro,1,15720,0.05,14934.0,12097.71,2836.29,Credit Card,Online
ORD-112811,2025-01-04,CUST-4743,Customer 4743,South,Tamil Nadu,Coimbatore,Salesperson 9,Electronics,Tablet,Tablet Pro,2,15950,0.15,27115.0,22186.33,4928.67,UPI,Retail Store
ORD-107903,2025-01-04,CUST-3664,Customer 3664,West,Goa,Margao,Salesperson 14,Electronics,Tablet,Tablet Pro,2,29710,0.2,47536.0,37038.12,10497.88,UPI,Online
ORD-112621,2025-01-04,CUST-4240,Customer 4240,West,Goa,Margao,Salesperson 14,Office Supplies,Stationery,Stationery Pro,5,490,0.0,2450.0,1625.25,824.75,UPI,Online
ORD-106243,2025-01-04,CUST-3069,Customer 3069,South,Karnataka,Bengaluru,Salesperson 10,Office Supplies,Printer,Printer Pro,1,8650,0.05,8217.5,5816.97,2400.53,Credit Card,Distributor
ORD-101336,2025-01-04,CUST-4486,Customer 4486,West,Goa,Panaji,Salesperson 20,Office Supplies,Stationery,Stationery Pro,3,1070,0.0,3210.0,2171.54,1038.46,Cash,Online
ORD-107857,2025-01-04,CUST-4405,Customer 4405,West,Goa,Margao,Salesperson 5,Furniture,Desk,Desk Pro,2,16360,0.1,29448.0,25162.58,4285.42,UPI,Online
ORD-101302,2025-01-04,CUST-3385,Customer 3385,West,Rajasthan,Jaipur,Salesperson 12,Home Appliances,Washing Machine,Washing Machine Pro,1,42950,0.15,36507.5,29858.75,6648.75,Net Banking,Distributor
ORD-101229,2025-01-04,CUST-3096,Customer 3096,North,Delhi,New Delhi,Salesperson 7,Home Appliances,Microwave,Microwave Pro,2,21590,0.0,43180.0,37137.01,6042.99,Credit Card,Retail Store
ORD-102891,2025-01-04,CUST-2189,Customer 2189,East,Bihar,Bhagalpur,Salesperson 3,Furniture,Office Chair,Office Chair Pro,1,16940,0.15,14399.0,10238.34,4160.66,Credit Card,Online
ORD-114944,2025-01-04,CUST-4171,Customer 4171,West,Maharashtra,Pune,Salesperson 9,Furniture,Office Chair,Office Chair Pro,1,5990,0.1,5391.0,4167.06,1223.94,Credit Card,Distributor
ORD-112078,2025-01-04,CUST-2055,Customer 2055,East,Jharkhand,Dhanbad,Salesperson 12,Office Supplies,Printer,Printer Pro,2,13820,0.15,23494.0,15994.24,7499.76,Debit Card,Online
ORD-100928,2025-01-04,CUST-2123,Customer 2123,North,Punjab,Ludhiana,Salesperson 5,Office Supplies,Printer,Printer Pro,1,25200,0.05,23940.0,16058.08,7881.92,Cash,Online
ORD-106799,2025-01-04,CUST-3088,Customer 3088,North,Haryana,Panipat,Salesperson 4,Electronics,Smartphone,Smartphone Pro,5,39850,0.15,169362.5,135420.5,33942.0,Credit Card,Distributor
ORD-107670,2025-01-04,CUST-4944,Customer 4944,West,Goa,Margao,Salesperson 13,Furniture,Office Chair,Office Chair Pro,1,17630,0.05,16748.5,10578.52,6169.98,Debit Card,Online
ORD-110555,2025-01-04,CUST-3638,Customer 3638,South,Tamil Nadu,Coimbatore,Salesperson 13,Office Supplies,Stationery,Stationery Pro,1,550,0.1,495.0,333.77,161.23,Credit Card,Retail Store
ORD-112185,2025-01-04,CUST-4008,Customer 4008,East,Jharkhand,Jamshedpur,Salesperson 14,Electronics,Laptop,Laptop Pro,3,73370,0.15,187093.5,162710.5,24383.0,Credit Card,Retail Store
ORD-114936,2025-01-04,CUST-3583,Customer 3583,South,Telangana,Warangal,Salesperson 2,Home Appliances,Washing Machine,Washing Machine Pro,3,42880,0.15,109344.0,95632.59,13711.41,Debit Card,Retail Store
ORD-100650,2025-01-04,CUST-3040,Customer 3040,West,Goa,Panaji,Salesperson 7,Office Supplies,Printer,Printer Pro,1,28610,0.1,25749.0,18029.86,7719.14,Debit Card,Retail Store
ORD-114997,2025-01-04,CUST-2252,Customer 2252,West,Gujarat,Surat,Salesperson 6,Electronics,Monitor,Monitor Pro,2,16260,0.0,32520.0,29501.08,3018.92,UPI,Retail Store
ORD-114795,2025-01-04,CUST-5336,Customer 5336,North,Punjab,Amritsar,Salesperson 6,Electronics,Monitor,Monitor Pro,1,13950,0.1,12555.0,11362.65,1192.35,Debit Card,Online
ORD-107608,2025-01-04,CUST-4348,Customer 4348,East,West Bengal,Kolkata,Salesperson 8,Office Supplies,Paper,Paper Pro,1,640,0.1,576.0,391.39,184.61,Credit Card,Retail Store
ORD-108017,2025-01-04,CUST-1973,Customer 1973,North,Delhi,Gurugram,Salesperson 1,Furniture,Sofa,Sofa Pro,1,18400,0.0,18400.0,15424.55,2975.45,Debit Card,Online
ORD-106639,2025-01-04,CUST-2543,Customer 2543,North,Punjab,Jalandhar,Salesperson 16,Electronics,Smartphone,Smartphone Pro,3,54280,0.05,154698.0,129372.41,25325.59,UPI,Online
ORD-105758,2025-01-04,CUST-1804,Customer 1804,South,Tamil Nadu,Chennai,Salesperson 13,Furniture,Bookshelf,Bookshelf Pro,3,9090,0.15,23179.5,18049.4,5130.1,Debit Card,Retail Store
ORD-100415,2025-01-04,CUST-2814,Customer 2814,South,Tamil Nadu,Madurai,Salesperson 14,Office Supplies,Paper,Paper Pro,1,750,0.1,675.0,466.11,208.89,Debit Card,Distributor
ORD-113915,2025-01-04,CUST-4080,Customer 4080,South,Tamil Nadu,Coimbatore,Salesperson 17,Furniture,Sofa,Sofa Pro,1,45710,0.05,43424.5,31919.02,11505.48,Credit Card,Distributor
